date,year,month,dekad_of_year,abs_dekad,rainfall_mm,tmax_c,tmin_c,is_wet_dekad,season,location
1984-06-21,1984,6,18,845,0.0,22.95085,13.27337,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-07-01,1984,7,19,846,0.361991,22.46901,12.66952,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-07-11,1984,7,20,847,0.0,21.64016,12.70825,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-07-21,1984,7,21,848,34.66516,22.10262,12.53481,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-08-01,1984,8,22,849,2.859729,22.76044,13.49376,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-08-11,1984,8,23,850,5.624434,22.5616,14.01094,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-08-21,1984,8,24,851,34.66516,22.82035,13.64216,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-09-01,1984,9,25,852,15.03167,23.75236,13.23243,0,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-09-11,1984,9,26,853,20.95023,23.40372,13.94998,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-09-21,1984,9,27,854,19.99095,24.00455,13.99534,0,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-10-01,1984,10,28,855,65.52036,22.9116,14.6056,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-10-11,1984,10,29,856,23.24434,23.68692,13.68698,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-10-21,1984,10,30,857,18.9095,23.02171,13.86787,0,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-11-01,1984,11,31,858,28.67873,21.27763,13.15556,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-11-11,1984,11,32,859,49.76923,21.31818,13.29942,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-11-21,1984,11,33,860,33.23529,21.87111,12.79389,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-12-01,1984,12,34,861,31.60181,22.75282,13.2401,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-12-11,1984,12,35,862,28.0362,23.48475,13.20037,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-12-21,1984,12,36,863,31.59728,22.81618,12.84697,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-01-01,1985,1,1,864,10.93665,22.63533,12.89189,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-01-11,1985,1,2,865,3.809955,24.6293,13.44227,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-01-21,1985,1,3,866,38.29864,22.56997,13.26534,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-02-01,1985,2,4,867,29.67873,21.45267,13.19999,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-02-11,1985,2,5,868,17.28959,23.96554,14.27158,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-02-21,1985,2,6,869,9.615385,21.92802,14.40209,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-03-01,1985,3,7,870,20.66968,22.13325,13.25741,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-03-11,1985,3,8,871,22.57919,24.21163,13.69682,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-03-21,1985,3,9,872,61.97738,21.25283,14.10255,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-04-01,1985,4,10,873,41.75566,21.81863,13.50346,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-04-11,1985,4,11,874,83.80543,20.54459,13.78367,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-04-21,1985,4,12,875,80.1629,21.49016,13.80523,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-05-01,1985,5,13,876,26.63348,21.50411,13.66632,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1985-05-11,1985,5,14,877,29.45701,20.74516,13.44032,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
